Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1990,0.48760286,0.40639648,0.56729066
1991,0.3762785,0.29012516,0.46079594
1992,0.08609441,4.71626e-06,0.17032658
1993,0.17286363,0.08798238,0.25562194
1994,0.32416105,0.23636255,0.4096646
1995,0.5655845,0.47926638,0.64930385
1996,0.22729623,0.14050436,0.3112275
1997,0.4881815,0.4021946,0.570986
1998,0.84080243,0.75362706,0.92453563
1999,0.55242944,0.46397597,0.63717765
2000,0.46694803,0.37752283,0.55238414
2001,0.6672063,0.5790139,0.7510052
2002,0.7628127,0.6736162,0.84731084
2003,0.7575689,0.66916794,0.8408509
2004,0.65213126,0.56290495,0.7359013
2005,0.8645496,0.7734601,0.94990766
2006,0.81064296,0.71980125,0.89532584
2007,0.8996919,0.8070082,0.98593104
2008,0.680249,0.5867039,0.7669855
2009,0.7383104,0.6435609,0.8259079
2010,0.93646204,0.8410045,1.0243766
2011,0.7220913,0.62724257,0.8088771
2012,0.7755681,0.6777007,0.8651775
2013,0.84324396,0.7445384,0.9332918
2014,0.8748405,0.7759141,0.96463996
2015,1.1561517,1.0544794,1.2484778
2016,1.2982002,1.1983879,1.3879577
2017,1.1559337,1.0531462,1.2484748
2018,0.978191,0.87669307,1.0687604
2019,1.1839101,1.0772524,1.2797064
2020,1.3274239,1.2204349,1.4230559
2021,1.0946108,0.984165,1.1935678
2022,1.0648619,0.9541212,1.1636081
2023,1.4917858,1.377168,1.5943296
2024,1.6262429,1.499356,1.7418575
2025,1.4321458,1.2986699,1.5544913
2026,1.3558705,0.88007784,1.8285385
